horizon_slice,dgp,dgp_label,correct_model,n,method,mean_MASE,median_MASE,mean_RMSSE,mean_sMAPE,mean_SPL,n_series,n_missing
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,48,SeasonalNaive,0.8828113810321754,0.7641411349378919,0.7150533603747483,1.896916923128239,0.34425152583134916,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,48,Theta,0.8889528742700269,0.7937877706194908,0.7197705582477834,1.9413514726577978,0.34357589695218266,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,48,TimesFM3,0.7892673260418348,0.6532915015478161,0.6389829706241144,1.7497079945781173,0.3063870022660004,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,96,AutoARIMA,0.7327795089076647,0.564296039737503,0.5894677774411696,1.5863279168276996,0.2921219207614629,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,96,AutoETS,0.9279638899560125,0.7407190680611591,0.7465082846722499,1.9944480496033359,0.35649393276215585,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,96,Combination,0.8578288947996162,0.6856497236346203,0.6901586430750192,1.8434881483428922,0.3327380864570509,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,96,SeasonalNaive,1.0564237361970448,0.8716547277087214,0.8500927798126433,2.2221567898004575,0.4063663801835261,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,96,Theta,1.0644352114811235,0.8708239370817201,0.8562853137810268,2.2328932856292245,0.40788054835413845,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,96,TimesFM3,0.7261809233750541,0.5467297504715254,0.5834375123286268,1.5602981828456337,0.29164946902547084,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,200,AutoARIMA,0.6996828397950112,0.60811474863784,0.5595659860362552,1.3389331576978907,0.2664535178451222,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,200,AutoETS,0.936702660852828,0.7414027306597375,0.7495821041047985,1.8658847301963006,0.3656789677492707,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,200,Combination,0.8456538488813515,0.7139190381051614,0.6766821348728077,1.6800419986234891,0.32663357975020896,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,200,SeasonalNaive,1.0567006696997294,0.8906202698901011,0.8455422547054177,2.0875727114328133,0.408069579662769,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,200,Theta,1.0572024421915323,0.9229740741879504,0.8459246180867999,2.1231785459863928,0.40545283233327284,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,200,TimesFM3,0.7083010128872455,0.6507927373588769,0.5668716141373135,1.3228112704895605,0.275435964883361,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,AutoARIMA,1.9441368662353267,1.6156365284719199,1.5953785032639933,4.16908750680329,0.7633138197126638,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,AutoETS,2.6212389468502058,2.316618287136887,2.1516792356314003,5.845161148193512,1.0180187673394072,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,Combination,2.3256598483530846,2.0938178495890574,1.9090933855223682,5.091193393458016,0.8963427936466715,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,SeasonalNaive,0.9369214864247052,0.8018421576336587,0.7760180896272708,2.1571958551019796,0.3634439600969464,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,Theta,2.973360638185156,2.7338136900302903,2.441947884778198,6.398818319845795,1.1191165964899594,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,TimesFM3,1.334384794291159,1.0602622913226432,1.0988256925969329,2.900465823865316,0.5114566960349118,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,AutoARIMA,0.8450759883548328,0.6486945623171806,0.6828001953746867,1.865496959191885,0.3275552585197956,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,AutoETS,1.6021685253187428,1.485836748477058,1.297435808965253,3.611153252535006,0.6290106965592457,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,Combination,1.1361261656241706,0.9111500480114142,0.9182455333196238,2.5415584730410976,0.4459119924767739,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,SeasonalNaive,0.9735627801971215,0.8095801568754523,0.7859800023102252,2.155661961413719,0.3733860127117192,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,Theta,1.4761457433398832,1.1209138313616036,1.1945192008129724,3.3228861219613055,0.6025769781174433,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,TimesFM3,1.1544011054381478,0.938245395188315,0.9315563780195562,2.5772555188196637,0.45156869020172763,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,AutoARIMA,0.7444071067865616,0.6122156239297459,0.5973741666026379,1.7033242166852287,0.28592085568519027,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,AutoETS,2.453631363679775,2.025469473564807,1.9764082659525724,5.711643673375485,0.9788346469880748,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,Combination,1.6965857491638803,1.465269910575166,1.3659118070773837,3.933125198108396,0.6649723410079337,200,0
