dgp,n,rep,method,MASE,RMSSE,sMAPE
D8,24,33,CrostonClassic,1.333012151074903,0.9398631083598847,163.96598405620367
D8,24,34,CrostonClassic,1.0559430669022565,0.7810710878544224,171.96988810579435
D8,24,35,CrostonClassic,0.9545407332346141,0.7097127312043391,160.19623850068757
D8,24,36,CrostonClassic,0.816358024691358,0.6255612378600882,126.77872715861722
D8,24,37,CrostonClassic,2.390661229711361,1.4314090284162517,182.79907765416118
D8,24,38,CrostonClassic,0.8449417502999126,0.5671238213840873,189.43107420403427
D8,24,39,CrostonClassic,0.8708333333333336,0.4248499636798808,194.37751004016064
D8,24,40,CrostonClassic,0.9163760309781045,0.8324333390937767,172.61706775132834
D8,24,41,CrostonClassic,1.2803104082080543,1.0233475494828077,192.01105685129204
D8,24,42,CrostonClassic,0.9079421785287353,0.8779545570528463,187.46483720850395
D8,24,43,CrostonClassic,0.746243735492837,0.5545216767392447,175.09030290675958
D8,24,44,CrostonClassic,0.8573607223559233,0.6093570112026979,147.92242374291914
D8,24,45,CrostonClassic,0.562534593066863,0.5763613224201216,177.46847517720673
D8,24,46,CrostonClassic,0.7747440593321958,0.6300540086906383,186.4113536198376
D8,24,47,CrostonClassic,1.363782051282051,1.0504956668619818,166.18421879673414
D8,24,48,CrostonClassic,0.9373723372187394,0.7333562201931415,150.0489885799314
D8,24,49,CrostonClassic,0.8636836333726066,0.6824961595413748,164.50210678099893
D8,24,50,CrostonClassic,1.2094153169663489,0.6706134736085949,187.78611248478202
D8,24,51,CrostonClassic,0.8351785287697391,0.5569331767731939,134.05852290033152
D8,24,52,CrostonClassic,0.7544656635802469,0.5278049427014591,186.22949700185524
D8,24,53,CrostonClassic,0.6606867230982545,0.49867545101978455,158.72669713287993
D8,24,54,CrostonClassic,1.1122772653403956,0.6444355010710444,163.39709901837355
D8,24,55,CrostonClassic,1.2520985636897495,1.3017657450645428,180.21903020632166
D8,24,56,CrostonClassic,1.1001058997831585,0.6993390765155867,165.70542433947054
D8,24,57,CrostonClassic,0.9319272082370601,0.8181040604557903,162.4966245204179
D8,24,58,CrostonClassic,1.1761684024867007,0.9593302519806634,189.22654781851264
D8,24,59,CrostonClassic,0.8103116531165312,0.49361744235614136,161.42125539331587
D8,24,60,CrostonClassic,0.9295812448642692,0.7177846373544235,131.863900136316
D8,24,61,CrostonClassic,0.9212292971489292,0.6065053660719477,200.0
D8,24,62,CrostonClassic,0.7181648693018267,0.5521714302764706,144.8855557404051
D8,24,63,CrostonClassic,1.4237637773640854,0.967104049121605,150.38161941671692
D8,24,64,CrostonClassic,1.9166666666666663,1.4309074663749315,160.69184226868475
D8,24,65,CrostonClassic,1.0495877562258242,0.809828013050979,130.6825856082902
D8,24,66,CrostonClassic,0.7342818674054371,0.6444779430127568,165.6952301227463
D8,24,67,CrostonClassic,0.739429315767713,0.6350124959030974,137.37514256263248
D8,24,68,CrostonClassic,1.1007400205261173,0.6336610306805353,174.56959191593018
D8,24,69,CrostonClassic,0.7951341922838058,0.5377293361516843,173.95864597736522
D8,24,70,CrostonClassic,0.9749113533562668,0.7448885191182856,177.60976893675948
D8,24,71,CrostonClassic,0.7213557735264747,0.5493530328012861,177.87283149179112
D8,24,72,CrostonClassic,1.045797880280639,0.7740468487538361,184.59935593862474
D8,24,73,CrostonClassic,1.1056393881013624,0.9293401459658052,170.6034167823877
D8,24,74,CrostonClassic,0.8846153846153845,0.7376032698736821,151.65449503412128
D8,24,75,CrostonClassic,1.4783696454630333,1.2535374552043466,176.9345391904541
D8,24,76,CrostonClassic,1.1093928200319336,1.1466400209757774,194.4447177052559
D8,24,77,CrostonClassic,2.181322674418605,0.8686193740126003,160.39010099795865
D8,24,78,CrostonClassic,0.9303502853466283,0.7692494902815179,191.0409131469594
D8,24,79,CrostonClassic,1.251672946570354,0.8051489199038181,170.14132291254614
D8,24,80,CrostonClassic,1.3164627751925062,1.0295942755235747,170.55673251304847
D8,24,81,CrostonClassic,0.8377071794871797,0.6957101491354859,183.9453817234836
D8,24,82,CrostonClassic,0.9130461835128156,0.6163404004758558,173.91656393725185
D8,24,83,CrostonClassic,0.6941280764458027,0.5834815852680517,153.1094010639736
D8,24,84,CrostonClassic,0.8057439665131102,0.599262207858965,133.78982352809325
D8,24,85,CrostonClassic,0.9824871764727556,0.7733908938784997,159.74782798017685
D8,24,86,CrostonClassic,0.7853057337569475,0.5400741492097848,172.17033029444556
D8,24,87,CrostonClassic,0.8498713744556414,0.6489304806572289,152.66858911814728
D8,24,88,CrostonClassic,0.7135733399848007,0.6513125370521246,124.07605010851273
D8,24,89,CrostonClassic,0.9256148737719646,0.8054143588188316,131.7624942941371
D8,24,90,CrostonClassic,1.4370793999962572,0.9756936423983879,170.8959559469753
D8,24,91,CrostonClassic,1.1037248316771409,0.727366700463417,169.93621826852961
D8,24,92,CrostonClassic,1.1130522703461012,0.8320791030378912,172.41146417181633
D8,24,93,CrostonClassic,0.6505788421496587,0.5559951442932783,200.0
D8,24,94,CrostonClassic,0.9827278464525606,0.7068220298587411,186.02086006606638
D8,24,95,CrostonClassic,1.1844618270505949,0.7787810694908478,180.93501779175148
D8,24,96,CrostonClassic,0.4974889370623568,0.3687460964598222,169.95960084037165
D8,24,97,CrostonClassic,0.556176859264148,0.4788996131798992,173.3441430098145
D8,24,98,CrostonClassic,1.8945437939226926,1.2004273990176864,175.9711197033974
D8,24,99,CrostonClassic,1.4009077589501846,0.8146677639916496,147.9090811995134
D8,24,100,CrostonClassic,0.9469313533038746,0.7378850466793241,187.7447685845071
D8,24,101,CrostonClassic,0.8103126891695666,0.6798624806886523,188.8857998942255
D8,24,102,CrostonClassic,1.4919075744279873,1.1545450623778053,172.91684832608632
D8,24,103,CrostonClassic,0.9956834973994955,0.6594729016251928,144.424342404319
D8,24,104,CrostonClassic,1.4687822497420022,0.9805752730896563,165.3109486025417
D8,24,105,CrostonClassic,0.6555724088602013,0.5421509825787036,174.6222187753311
D8,24,106,CrostonClassic,1.2559609171468933,0.7967754700869338,176.4573713330087
D8,24,107,CrostonClassic,1.1819444444444445,1.0521806161894467,152.50706202713502
D8,24,108,CrostonClassic,0.983885841315705,0.7809709811482145,174.41349078079205
D8,24,109,CrostonClassic,1.1570743269936228,0.7898451948914913,166.9650276043708
D8,24,110,CrostonClassic,1.902215462025235,0.9449639469092439,171.98669520087472
D8,24,111,CrostonClassic,1.0733333333333335,0.7724987668768102,140.3998662758448
D8,24,112,CrostonClassic,1.5558187643650416,1.0883667025650894,182.89822991870358
D8,24,113,CrostonClassic,1.4055555555555554,0.9231676878424989,142.17537866623618
D8,24,114,CrostonClassic,1.0183304680985734,0.7046606800815399,162.46333583946696
D8,24,115,CrostonClassic,1.3461896486657956,1.3603010318584974,183.56659091948703
D8,24,116,CrostonClassic,0.8339905517310454,0.7380067781420079,156.0496573855652
D8,24,117,CrostonClassic,0.8164415845902518,0.5902904934749313,173.35336917560468
D8,24,118,CrostonClassic,1.8035805393586009,1.4152815739797229,190.61245373411546
D8,24,119,CrostonClassic,1.8429487179487183,1.088429560350854,157.16516323701083
D8,24,120,CrostonClassic,1.3234126984126984,0.9721542503396253,160.55884549476832
D8,24,121,CrostonClassic,3.5138888888888893,2.1621624779827675,180.24023488389582
D8,24,122,CrostonClassic,0.8110500667200073,0.6048920170911677,126.02130522867789
D8,24,123,CrostonClassic,1.0031392527507177,0.665037492212221,150.4185789745807
D8,24,124,CrostonClassic,0.7649783829763371,0.6259366639181724,159.5293420101903
D8,24,125,CrostonClassic,1.1022620884678953,0.7163892474370867,161.02508142196993
D8,24,126,CrostonClassic,0.7906797638576366,0.6026503954453188,166.59670910041868
D8,24,127,CrostonClassic,1.3278142204904242,0.811703354633132,148.0973538123851
D8,24,128,CrostonClassic,0.8876037294725035,0.6927918571278772,147.8721093816666
D8,24,129,CrostonClassic,2.920311268715524,1.3515682052109546,175.79095759840365
D8,24,130,CrostonClassic,1.6576576576576576,1.2415618970984186,144.19389716158742
D8,24,131,CrostonClassic,0.6247159506068167,0.5249427557329319,181.90589318804777
D8,24,132,CrostonClassic,1.0873455037647097,0.8001109051661379,184.53152314823222
D8,24,133,CrostonClassic,0.8710072242447761,0.6092728788731244,168.5227057491387
D8,24,134,CrostonClassic,1.1846697170565434,0.7247007569369216,149.12840539040414
D8,24,135,CrostonClassic,0.881315238640031,0.6816528824163739,144.27859035473796
D8,24,136,CrostonClassic,0.9533961534477124,0.9263577335844654,182.30642448754278
D8,24,137,CrostonClassic,1.0993478707943987,0.8699469078731853,189.18436388134657
D8,24,138,CrostonClassic,0.4845220971266769,0.35295411489943246,190.49299316259598
D8,24,139,CrostonClassic,0.5932342357492543,0.4821023586151824,155.62109296114104
D8,24,140,CrostonClassic,1.0260868554655722,0.9489629882193146,177.03137762736293
D8,24,141,CrostonClassic,0.7872778752829565,0.6904361459111461,134.7343973775581
D8,24,142,CrostonClassic,0.7752322277191529,0.5509806621110137,149.15432415551393
D8,24,143,CrostonClassic,0.8315639524191771,0.6386067236380357,148.84444775475203
D8,24,144,CrostonClassic,0.5893883789936937,0.5313246318480146,188.9512677980318
D8,24,145,CrostonClassic,1.7221306517465593,0.9893344910996792,115.9764581676701
D8,24,146,CrostonClassic,0.5943855652294631,0.481399176181992,159.37149901926216
