dgp,correct_model,n,opponent,mean_MASE_timesfm,mean_MASE_opponent,median_ratio,p_wilcoxon,timesfm_wins,p_adj,significant
D3,ARIMA,96,MeanCombination,4.022702674864335,3.87051943143126,1.0575069525951373,0.1569520079586023,False,0.1765710089534276,False
D3,ARIMA,96,MedianCombination,4.022702674864335,3.8802670004031063,1.0430348064413435,0.1612872387886498,False,0.1935446865463798,False
D3,ARIMA,200,MeanCombination,4.296646554842195,4.198853214872126,1.0613996246687225,0.12211528592990871,False,0.1418112997895714,False
D3,ARIMA,200,MedianCombination,4.296646554842195,4.240700940015153,1.0852226881713305,0.2796656291337354,False,0.30508977723680225,False
D4,ARIMA,24,MeanCombination,1.3213820215190204,3.0836706628481054,0.4189101265997859,1.4361464127613523e-34,True,2.5850635429704342e-33,True
D4,ARIMA,24,MedianCombination,1.3213820215190204,3.635645701623624,0.35073872949490237,1.5025132576170275e-34,True,2.7045238637106495e-33,True
D4,ARIMA,48,MeanCombination,1.2953411781213933,1.3947553538064363,0.9491541496373112,0.00023544530751998916,True,0.00033904124282878436,True
D4,ARIMA,48,MedianCombination,1.2953411781213933,1.5220747134008454,0.8779308558692334,6.503182374558961e-17,True,2.341145654841226e-16,True
D4,ARIMA,96,MeanCombination,1.1237002365442654,1.838873565980283,0.5982229070607628,2.4949475052796965e-31,True,1.496968503167818e-30,True
D4,ARIMA,96,MedianCombination,1.1237002365442654,2.0932947566161406,0.5220354714490851,4.005279394039047e-32,True,2.883801163708114e-31,True
D4,ARIMA,200,MeanCombination,1.1610597656223272,1.6997485567249964,0.742664925419698,2.4603933383595755e-25,True,9.841573353438302e-25,True
D4,ARIMA,200,MedianCombination,1.1610597656223272,1.0198936783677528,1.1598670381014162,1.1942869743824117e-13,False,3.307256236751294e-13,True
D5,ETS,24,MeanCombination,1.1520714430345458,2.4737051617524206,0.44939619987509327,1.4361464127613523e-34,True,2.5850635429704342e-33,True
D5,ETS,24,MedianCombination,1.1520714430345458,2.9844140763216456,0.36683363378217415,1.4361464127613523e-34,True,2.7045238637106495e-33,True
D5,ETS,48,MeanCombination,0.8148540338254746,0.7313265175641187,1.1231154374488745,0.00017886039320334085,False,0.0002682905898050113,True
D5,ETS,48,MedianCombination,0.8148540338254746,0.6942407640035083,1.2303336758450474,1.508036491841119e-09,False,3.016072983682238e-09,True
D5,ETS,96,MeanCombination,0.7611725257312212,0.7128403657800291,1.0889784944988368,6.40751653898584e-05,False,0.0001002915632189088,True
D5,ETS,96,MedianCombination,0.7611725257312212,0.719873060437936,1.0769052844228235,0.00036678471090576225,False,0.0005078557535618247,True
D5,ETS,200,MeanCombination,0.6892311464503353,0.6454688366089641,1.074905043779622,0.0003341193987090174,False,0.00046262685975094725,True
D5,ETS,200,MedianCombination,0.6892311464503353,0.6500426659710237,1.0485055750559427,0.0009441501051033612,False,0.001229864838875989,True
D6,none,24,MeanCombination,0.8074391644777767,0.836658053118802,0.8989213423235817,0.004028248447169994,True,0.005000584279245509,True
D6,none,24,MedianCombination,0.8074391644777767,0.7818941017356309,1.0345655213620524,0.2595576576230817,True,0.2920023648259669,False
D6,none,48,MeanCombination,0.8246840303697652,0.9236569504970339,0.9019464897058316,1.5854723040476801e-06,True,3.8051335297144327e-06,True
D6,none,48,MedianCombination,0.8246840303697652,0.895808775688253,0.948111189662037,0.0009565615413479915,True,0.001229864838875989,True
D6,none,96,MeanCombination,0.8651027460485585,0.915578397650579,0.9659173574152791,0.009153066483337111,True,0.010983679780004533,True
D6,none,96,MedianCombination,0.8651027460485585,0.909662276925977,0.9809088377793764,0.01810470980196393,True,0.022474812167955223,True
D6,none,200,MeanCombination,0.8439346375349294,0.8273006536138962,0.9852610596957085,0.3296019406494278,False,0.3489902900993942,False
D6,none,200,MedianCombination,0.8439346375349294,0.8295732011270439,0.9761636373551538,0.2539285531873964,False,0.2920023648259669,False
D7,none,24,MeanCombination,1.14177664540335,1.6804410159104521,0.6376799281282974,9.798352857051819e-30,True,5.039152897912364e-29,True
D7,none,24,MedianCombination,1.14177664540335,1.2328538690765494,0.9121829719529413,6.961589474520292e-07,True,1.0896400916640456e-06,True
D7,none,48,MeanCombination,0.7512974802355034,0.9695026822932168,0.8775377529708699,2.3514783741920244e-13,True,8.465322147091287e-13,True
D7,none,48,MedianCombination,0.7512974802355034,1.059677797177519,0.8168264139864843,1.3857553958520497e-17,True,5.5430215834081987e-17,True
D7,none,96,MeanCombination,0.9589868937483437,1.0969676585010157,0.8774903925440884,8.312636450250033e-08,True,2.301960863146163e-07,True
D7,none,96,MedianCombination,0.9589868937483437,1.2187661424482825,0.8464932212041228,1.040022081594178e-13,True,3.1200662447825343e-13,True
D7,none,200,MeanCombination,0.9333083464715682,0.9539508612712894,1.008490162792105,0.2014193656836034,True,0.21973021710938553,False
D7,none,200,MedianCombination,0.9333083464715682,0.9743891566907729,0.9999430927246467,0.35375556581886947,True,0.37456471674939124,False
D8,none,24,MeanCombination,0.780167283787818,1.0095757661009646,0.8246456386004096,1.790314833172532e-28,True,8.056416749276393e-28,True
D8,none,24,MedianCombination,0.780167283787818,1.010202341046608,0.8292107570909507,4.041216825333489e-28,True,2.07834008160008e-27,True
D8,none,48,MeanCombination,0.7075707030641338,0.9737766312253704,0.7278459254517645,1.1449648597620811e-32,True,1.3739578317144975e-31,True
D8,none,48,MedianCombination,0.7075707030641338,0.9873963227534905,0.7217739200339812,8.543520604223385e-33,True,1.0252224725068061e-31,True
D8,none,96,MeanCombination,0.682590437080926,0.923468680068369,0.7559879735293895,3.566509130194887e-32,True,2.925910973105485e-31,True
D8,none,96,MedianCombination,0.682590437080926,0.9231091541461,0.7591241907684513,3.6186307729844124e-32,True,2.883801163708114e-31,True
D8,none,200,MeanCombination,0.6937643203180511,0.9401467369651826,0.7234722253835237,4.0637652404242847e-32,True,2.925910973105485e-31,True
D8,none,200,MedianCombination,0.6937643203180511,0.9387014335697006,0.7278733217661595,1.039388626453145e-31,True,6.2363317587188704e-31,True
D9,ARIMA (mean only),24,MeanCombination,1.320846236656584,1.4040436810853174,0.950146499304014,0.0005248867459885053,True,0.0006998489946513403,True
D9,ARIMA (mean only),24,MedianCombination,1.320846236656584,1.4427179671025714,0.9380026128852761,7.248033014951988e-05,True,0.00010437167541530862,True
D9,ARIMA (mean only),48,MeanCombination,1.2392636902920326,1.352744517299287,0.961566923684239,5.306120674249076e-07,True,1.364431030521191e-06,True
D9,ARIMA (mean only),48,MedianCombination,1.2392636902920326,1.4637791584861606,0.9066600741638658,2.3645524843361786e-12,True,6.080277816864459e-12,True
D9,ARIMA (mean only),96,MeanCombination,1.103838083747881,1.2132926161830933,0.9241175993706497,4.027913308808392e-05,True,6.591130868959187e-05,True
D9,ARIMA (mean only),96,MedianCombination,1.103838083747881,1.3261357164079572,0.8663658551327464,1.3574446715252211e-08,True,2.4434004087453978e-08,True
D9,ARIMA (mean only),200,MeanCombination,1.2004719717540966,1.3412026143917064,0.9187076915249909,1.325682923137154e-10,True,3.977048769411461e-10,True
D9,ARIMA (mean only),200,MedianCombination,1.2004719717540966,1.5002519500945295,0.8411630198922886,7.921842718627157e-15,True,2.592603071550706e-14,True
