horizon_slice,dgp,dgp_label,n,method,cover60,cover80,width60,width80
h1,D5,"ETS(A,A,A)",200,Theta,0.445,0.6,0.9198848781657983,1.4470887081272275
h1,D5,"ETS(A,A,A)",200,TimesFM3,0.56,0.75,1.0065038731806384,1.55255832080471
h1,D6,Local level with structural break,24,AutoARIMA,0.835,0.985,2.7884358647681653,4.246000701222517
h1,D6,Local level with structural break,24,AutoETS,0.88,0.99,2.9490621978657363,4.49058926486294
h1,D6,Local level with structural break,24,Combination,0.875,0.99,2.8335824978479085,4.361170290387139
h1,D6,Local level with structural break,24,SeasonalNaive,0.835,0.985,2.791371643674863,4.250471063784544
h1,D6,Local level with structural break,24,Theta,0.86,0.99,2.7632494309098248,4.346920905075959
h1,D6,Local level with structural break,24,TimesFM3,0.58,0.795,1.3872156870557262,2.3537690604217634
h1,D6,Local level with structural break,48,AutoARIMA,0.795,0.915,2.538836525442255,3.8659313644330173
h1,D6,Local level with structural break,48,AutoETS,0.83,0.935,2.6049099954282315,3.9665426079754558
h1,D6,Local level with structural break,48,Combination,0.805,0.93,2.5417589908071236,3.9120724586202362
h1,D6,Local level with structural break,48,SeasonalNaive,0.77,0.915,2.5960966419427005,3.9531223584540287
h1,D6,Local level with structural break,48,Theta,0.79,0.935,2.4815304515508854,3.9037434034522356
h1,D6,Local level with structural break,48,TimesFM3,0.625,0.83,1.4857938597840428,2.392895556850443
h1,D6,Local level with structural break,96,AutoARIMA,0.76,0.935,2.2588279571226386,3.439557355815733
h1,D6,Local level with structural break,96,AutoETS,0.78,0.93,2.3032027370371977,3.5071276194945353
h1,D6,Local level with structural break,96,Combination,0.78,0.915,2.25934698623299,3.4775779731570573
h1,D6,Local level with structural break,96,SeasonalNaive,0.71,0.89,2.392768187569623,3.643510518083313
h1,D6,Local level with structural break,96,Theta,0.75,0.925,2.2160102645391326,3.4860489441609017
h1,D6,Local level with structural break,96,TimesFM3,0.58,0.835,1.5465267179057318,2.46153549962055
h1,D6,Local level with structural break,200,AutoARIMA,0.71,0.89,2.028903853003266,3.089447848312327
h1,D6,Local level with structural break,200,AutoETS,0.725,0.9,2.0668657836959268,3.1472531528478873
h1,D6,Local level with structural break,200,Combination,0.705,0.895,2.0286388934744575,3.122479968119889
h1,D6,Local level with structural break,200,SeasonalNaive,0.705,0.895,2.2567482943017367,3.436390616387574
h1,D6,Local level with structural break,200,Theta,0.695,0.89,1.990147043724179,3.130738903199452
h1,D6,Local level with structural break,200,TimesFM3,0.61,0.78,1.5637917362248681,2.4272432112568185
h1,D7,Logistic growth,24,AutoARIMA,0.59,0.78,1.4509331645612022,2.209361639618015
h1,D7,Logistic growth,24,AutoETS,0.595,0.815,1.8260711701073224,2.780590927954712
h1,D7,Logistic growth,24,Combination,0.605,0.77,1.5965989480444653,2.456585265447193
h1,D7,Logistic growth,24,SeasonalNaive,0.575,0.765,2.0756721048689384,3.1606626941424314
h1,D7,Logistic growth,24,Theta,0.55,0.72,1.5127925094648718,2.3798032287688526
h1,D7,Logistic growth,24,TimesFM3,0.58,0.77,1.4370609337774787,2.2481642669279363
h1,D7,Logistic growth,48,AutoARIMA,0.62,0.8,1.6129804546548676,2.456113919655167
h1,D7,Logistic growth,48,AutoETS,0.55,0.77,1.5678503929402645,2.3873935749961546
h1,D7,Logistic growth,48,Combination,0.64,0.8,1.6035286907987665,2.469102353191645
h1,D7,Logistic growth,48,SeasonalNaive,0.575,0.785,2.0915698068413118,3.184870406636524
h1,D7,Logistic growth,48,Theta,0.55,0.77,1.6297552248011677,2.5637995649236136
h1,D7,Logistic growth,48,TimesFM3,0.65,0.845,1.5841125844932598,2.497994832993302
h1,D7,Logistic growth,96,AutoARIMA,0.66,0.805,1.6172911441932016,2.4626778829988383
h1,D7,Logistic growth,96,AutoETS,0.63,0.8,1.6236051111482357,2.472292272362174
h1,D7,Logistic growth,96,Combination,0.665,0.86,1.6768465876563994,2.5834310753149885
h1,D7,Logistic growth,96,SeasonalNaive,0.61,0.885,2.1102600886217626,3.2133304298877454
h1,D7,Logistic growth,96,Theta,0.67,0.89,1.7896435076277606,2.8153230705839514
h1,D7,Logistic growth,96,TimesFM3,0.665,0.86,1.6645130915961022,2.618784694511854
h1,D7,Logistic growth,200,AutoARIMA,0.595,0.805,1.6675792410895767,2.539252459227403
h1,D7,Logistic growth,200,AutoETS,0.64,0.8,1.6774342392158115,2.5542588395007475
h1,D7,Logistic growth,200,Combination,0.645,0.815,1.7415996867625996,2.683546259763683
h1,D7,Logistic growth,200,SeasonalNaive,0.65,0.84,2.112057121802233,3.216066804154338
