unique_id,origin,method,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
M13887,1,AutoARIMA,1.0064519667550942,0.7289597051324073,5.146311766739021,4.9744373906289745,0.361149831547029,0.7777777777777778,1.0,2.791462986407933,4.250610152982746,True
M13887,1,Combination,1.0927706010294505,0.7887877376934865,5.606557295359426,5.404257701189976,0.3898147045060066,0.6111111111111112,0.9444444444444444,2.4572031039787183,3.744643771456675,True
M13887,1,TimesFM3,0.9272378286189231,0.673475629630977,4.750968236469702,4.602486727082264,0.33873112017956486,0.2222222222222222,0.7222222222222222,1.455338799840816,2.35723517614641,True
M13887,2,SeasonalNaive,0.7604955748790742,0.5738110019737066,4.202028124014078,4.078971352106589,0.32002247068394557,0.9444444444444444,1.0,3.0890009614201515,4.703676499784749,True
M13887,2,Theta,0.801023088024869,0.5797672002693353,4.395778039844547,4.271243882365513,0.3163094379939972,0.7222222222222222,0.9444444444444444,2.1589471945133036,3.296433027422958,True
M13887,2,AutoETS,0.6997358185068195,0.48968639420425536,3.8263386008144162,3.744772417827777,0.2649923253187981,1.0,1.0,2.4198478838775803,3.684745251492553,True
M13887,2,AutoARIMA,0.8174269727630803,0.6083735297766447,4.481045927164631,4.3446232838881915,0.3156153886663573,0.8888888888888888,1.0,2.7612938261844784,4.204671038125341,True
M13887,2,Combination,0.7591164406214256,0.5527093488639432,4.154402732423422,4.043149176859637,0.29186366595152685,0.8888888888888888,1.0,2.4466963015251206,3.7286164390136185,True
M13887,2,TimesFM3,0.5725181180642609,0.4166620621347087,3.126089809507987,3.0629387814163205,0.2118664277147791,0.7222222222222222,0.9444444444444444,1.5307518597287137,2.4585188013576165,True
M13897,0,SeasonalNaive,0.7368812319188388,0.7004329957977591,4.011484439029947,3.9085681044769087,0.2816111935103849,0.8333333333333334,1.0,2.3743431630061607,3.61545440669665,True
M13897,0,Theta,0.5286631237294656,0.4933042705344487,2.8588548506034304,2.810873503091339,0.2014310331801315,0.7222222222222222,1.0,1.418313939765039,2.167222576882232,True
M13897,0,AutoETS,0.31927095148726325,0.2981563100488837,1.720406261623481,1.7120666606685895,0.14209022895454781,0.9444444444444444,1.0,1.446089617814391,2.201986285160982,True
M13897,0,AutoARIMA,0.3307408265819611,0.30890166446740425,1.782286485170476,1.7725783208442198,0.14614653642200065,0.9444444444444444,1.0,1.4705568220027483,2.239242930527418,True
M13897,0,Combination,0.3779007754551257,0.35280602172046516,2.0347333496073063,2.015431385516303,0.15535293689078822,0.8888888888888888,1.0,1.4449867931940596,2.20281726419021,True
